   0.8816,   0.7362
   0.3382,   0.2822
   0.1026,   0.2257
   0.2640,   0.9642
   0.3947,   0.4495
   0.5017,   0.6032
   0.9643,   0.9039
   0.1120,   0.8103
   0.5983,   0.4432
   0.4648,   0.6022
   0.0110,   0.0352
   0.8596,   0.0608
   0.4036,   0.2217
   0.6867,   0.5255
   0.1427,   0.5921
   0.5955,   0.2647
   0.7353,   0.8493
   0.7567,   0.3509
   0.6450,   0.0088
   0.8155,   0.0625
   0.3166,   0.8196
   0.1154,   0.9687
   0.7080,   0.2782
   0.6417,   0.1172
   0.8868,   0.2554
   0.5874,   0.3848
   0.3930,   0.1624
   0.0034,   0.9857
   0.4881,   0.7675
   0.4915,   0.5970
   0.1531,   0.6363
   0.2117,   0.0134
   0.4167,   0.0991
   0.7764,   0.9065
   0.8845,   0.5420
   0.8329,   0.3909
   0.8631,   0.7045
   0.1918,   0.6550
   0.2782,   0.2346
   0.9742,   0.0411
   0.3693,   0.8249
   0.6093,   0.3715
   0.2336,   0.1432
   0.4382,   0.6852
   0.7682,   0.1282
   0.1099,   0.1305
   0.4488,   0.2367
   0.3026,   0.4381
   0.9557,   0.6889
   0.9711,   0.9018
   0.2582,   0.3446
   0.3744,   0.4892
   0.6037,   0.9577
   0.0739,   0.4654
   0.6645,   0.1636
   0.2118,   0.4604
   0.2677,   0.5880
   0.3940,   0.2227
   0.1341,   0.6189
   0.8336,   0.9944
   0.3048,   0.7145
   0.0015,   0.6849
   0.5426,   0.0732
   0.4877,   0.1377
   0.0652,   0.2631
   0.2091,   0.5607
   0.4827,   0.3066
   0.3976,   0.0779
   0.9904,   0.8784
   0.4288,   0.2559
   0.9754,   0.5780
   0.2125,   0.8976
   0.3934,   0.7912
   0.4537,   0.3220
   0.1270,   0.2945
   0.0038,   0.6771
   0.1470,   0.4399
   0.4972,   0.3465
   0.5611,   0.0262
   0.4805,   0.8128
   0.9943,   0.0498
   0.9070,   0.8131
   0.0098,   0.7978
   0.2455,   0.6155
   0.5723,   0.9656
   0.8114,   0.4165
   0.4562,   0.4876
   0.4880,   0.9476
   0.9006,   0.0681
   0.3632,   0.1976
   0.4615,   0.1379
   0.3825,   0.3171
   0.3482,   0.9702
   0.3889,   0.6386
   0.3445,   0.1755
   0.4323,   0.0761
   0.0075,   0.0176
   0.7236,   0.4316
   0.7408,   0.4340
   0.3463,   0.4174
   0.5040,   0.4190
   0.7656,   0.7827
   0.8900,   0.9808
   0.2276,   0.1985
   0.1204,   0.5405
   0.9525,   0.2354
   0.3514,   0.5133
   0.2072,   0.1659
   0.0709,   0.2841
   0.0470,   0.8138
   0.6332,   0.1841
   0.7893,   0.1431
   0.8270,   0.2909
   0.8361,   0.2570
   0.2339,   0.7497
   0.8778,   0.2841
   0.7515,   0.8502
   0.4677,   0.4732
   0.4922,   0.4100
   0.4625,   0.0516
   0.1094,   0.7144
   0.2611,   0.1513
   0.0127,   0.4040
   0.0814,   0.7178
   0.2599,   0.7706
   0.7115,   0.4613
   0.1660,   0.9231
   0.8090,   0.4740
   0.2025,   0.9487
   0.6080,   0.3230
   0.4523,   0.0982
   0.6716,   0.2660
   0.8047,   0.0524
   0.9775,   0.4902
   0.2821,   0.9145
   0.0083,   0.5226
   0.1273,   0.4561
   0.5393,   0.1707
   0.2979,   0.3720
   0.2208,   0.3560
   0.5694,   0.9088
   0.9604,   0.0678
   0.8274,   0.4468
   0.2552,   0.7002
   0.1486,   0.9157
   0.7393,   0.3778
   0.0973,   0.6919
   0.8650,   0.8274
   0.0179,   0.5725
   0.3475,   0.9482
   0.3325,   0.8709
   0.9438,   0.4760
   0.3446,   0.2162
   0.8701,   0.5346
   0.6541,   0.5347
   0.3483,   0.3355
   0.5097,   0.9945
   0.8172,   0.8287
   0.0151,   0.3508
   0.7787,   0.4208
   0.9533,   0.8211
   0.3566,   0.3419
   0.1444,   0.8470
   0.9735,   0.5514
   0.3306,   0.9914
   0.8433,   0.8933
   0.2286,   0.3676
   0.7723,   0.3178
   0.3436,   0.0821
   0.0923,   0.5895
   0.8323,   0.3514
   0.3871,   0.3297
   0.1127,   0.2953
   0.4327,   0.4875
   0.6248,   0.5379
   0.9549,   0.1306
   0.6344,   0.7684
   0.7045,   0.1436
   0.4957,   0.1293
   0.1263,   0.7361
   0.1854,   0.1897
   0.6753,   0.1602
   0.3805,   0.6759
   0.2345,   0.9020
   0.3365,   0.4872
   0.7854,   0.7988
   0.9519,   0.4086
   0.9199,   0.2950
   0.3526,   0.2127
   0.9632,   0.2425
   0.3532,   0.1581
   0.5128,   0.1950
   0.4679,   0.0274
   0.0190,   0.4598
   0.6635,   0.9152
   0.4348,   0.6024
   0.0939,   0.5224
   0.0307,   0.0775
   0.5103,   0.4902
   0.4532,   0.4836
